Фактор;Вопрос;Направление подготовки;Балл (0–1) S;Краткое обоснование;R;1;2;3;4;5
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B071 — Инженерия и инженерное дело;1;Прямое совпадение: работа с устройствами, механизмами, машинами.;;0;0,25;0,5;0,75;1
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B073 — Архитектура и строительство;0,8;Конструкции, узлы, инженерные системы зданий требуют понимания механики.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B075 — Стандартизация, сертификация и метрология;0,9;Приборы, измерительные установки и их устройство — ядро направления.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B062 — Телекоммуникации;0,8;Сетевое оборудование, аппаратная часть, инженерная инфраструктура.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B061 — Информационно-коммуникационные технологии;0,6;Ближе к софту, но зачастую связаны с аппаратно-программными комплексами.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B063 — Информационная безопасность;0,6;Системная/сетевая безопасность затрагивает работу оборудования и его конфигураций.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B053 — Физические и химические науки;0,7;Физика (механика), приборы и лабораторные установки напрямую связаны с «механизмами».;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B054 — Математика и статистика;0,4;Моделирование и анализ механизмов опосредованно (теория, без «железа»).;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B113 — Транспортные услуги;0,7;Эксплуатация/обслуживание техники (транспортные средства, узлы, агрегаты).;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B052 — Окружающая среда;0,4;Полевые/лабораторные приборы и экологическое оборудование — частичное совпадение.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B051 — Биологические и смежные науки;0,4;Биотехника/лабораторное оборудование присутствуют, но не являются ядром.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B041 — Бизнес и управление;0,3;Производственный/операционный менеджмент может включать техпроцессы, но косвенно.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B031 — Социальные науки;0,2;"Технический компонент отсутствует; связь только через техносоциальные темы.";;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B032 — Журналистика и информация;0,2;Возможны техножурналистика/гаджеты, но это периферийно.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B042 — Право;0,1;Техническое содержание минимально (техрегулирование — узкая ниша).;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B022 — Гуманитарные науки;0,1;Механизмы не являются предметом изучения.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B023 — Языки и литература;0,1;Нет инженерного/технического ядра.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B021 — Искусство;0,2;Возможен индустриальный/продуктовый дизайн, но чаще без «механизмов».;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B111 — Сфера обслуживания;0,2;Оборудование сервисов присутствует, но не является фокусом обучения.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B114 — Социальная работа;0,1;Технический компонент отсутствует.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B011 — Педагогика и психология;0,1;Техника не является содержанием подготовки.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B012 — Педагогика дошкольного воспитания и обучения;0,1;Механизмы/устройства не составляют основу направления.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B014 — Подготовка учителей с предметной специализацией общего развития;0,2;Возможны элементы техтруда/технологии, но не системно.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B015 — Подготовка учителей по естественнонаучным предметам;0,6;Лабораторные установки/демонстрации механизмов (физика) — заметная часть.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B016 — Подготовка учителей по гуманитарным предметам;0,1;Технический компонент отсутствует.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B017 — Подготовка учителей по языкам и литературе;0,1;Механизмы не относятся к предмету преподавания.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B018 — Подготовка специалистов по социальной педагогике;0,1;Технический фокус отсутствует.;;;;;;
Интересы;Мне нравится разбираться в устройстве техники и механизмов.;6B013 — Подготовка учителей без предметной специализации;0,2;Возможны базовые технологии/труд, но в целом связь слабая.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B051 — Биологические и смежные науки;1;Прямое совпадение: изучение живых систем и процессов.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B052 — Окружающая среда;0,9;Экология и природопользование напрямую связаны с природными процессами.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B053 — Физические и химические науки;0,8;Физика и химия объясняют фундаментальные процессы природы.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B015 — Подготовка учителей по естественнонаучным предметам;0,7;Преподавание биологии/физики/химии требует интереса к природе.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B071 — Инженерия и инженерное дело;0,4;Инженерные решения зависят от знания свойств материалов и среды.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B073 — Архитектура и строительство;0,4;Строительство учитывает законы природы и взаимодействие с окружающей средой.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B075 — Стандартизация, сертификация и метрология;0,3;Эксперименты и контроль качества связаны с физическими процессами.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B054 — Математика и статистика;0,3;Опосредованная связь через математическое моделирование природных процессов.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B061 — Информационно-коммуникационные технологии;0,2;Возможна обработка данных в экологических/природных исследованиях, но не основа.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B062 — Телекоммуникации;0,2;Слабая связь, только при мониторинге природных систем.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B063 — Информационная безопасность;0,1;Природные процессы не являются предметом.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B041 — Бизнес и управление;0,2;Косвенно — экологический менеджмент и устойчивое развитие.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B042 — Право;0,2;Экологическое право и природоохранное законодательство.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B031 — Социальные науки;0,2;Связь только через социально-экологические исследования.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B032 — Журналистика и информация;0,2;Возможна специализация на научной журналистике.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B022 — Гуманитарные науки;0,1;Косвенная связь (философия природы, история науки).;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B023 — Языки и литература;0,1;Слабая связь — только через художественные описания природы.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B021 — Искусство;0,1;Может проявляться в художественном отображении природы.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B111 — Сфера обслуживания;0,1;Косвенно — через экологический туризм.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B113 — Транспортные услуги;0,1;Связь минимальная, кроме экологической логистики.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B114 — Социальная работа;0,1;Косвенно через экологическое просвещение.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B011 — Педагогика и психология;0,2;В рамках психологии/педагогики может быть изучение природы как среды развития.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B012 — Педагогика дошкольного воспитания и обучения;0,2;Включает основы естествознания в программах дошкольного воспитания.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B014 — Подготовка учителей с предметной специализацией общего развития;0,3;В школьной программе общие предметы включают основы природы.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B016 — Подготовка учителей по гуманитарным предметам;0,1;Фокус на гуманитарных дисциплинах.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B017 — Подготовка учителей по языкам и литературе;0,1;Слабая связь, природа не предмет преподавания.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B018 — Подготовка специалистов по социальной педагогике;0,1;Связь через просвещение в области экологии, но косвенная.;;;;;;
Интересы;Я получаю удовольствие от изучения природы и естественных процессов.;6B013 — Подготовка учителей без предметной специализации;0,2;Может включать общие естественнонаучные знания.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B011 — Педагогика и психология;1;Прямое совпадение: работа с людьми, развитие, помощь, психология.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B012 — Педагогика дошкольного воспитания и обучения;1;Работа с детьми и их развитием в дошкольный период.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B014 — Подготовка учителей с предметной специализацией общего развития;0,9;Учитель начальной школы — постоянная помощь детям.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B016 — Подготовка учителей по гуманитарным предметам;0,9;Учитель-предметник работает с детьми, помогает в освоении дисциплины.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B017 — Подготовка учителей по языкам и литературе;0,9;Важна коммуникация и помощь ученикам в обучении.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B015 — Подготовка учителей по естественнонаучным предметам;0,9;Работа с учениками, помощь в освоении предмета.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B018 — Подготовка специалистов по социальной педагогике;1;Прямое совпадение: помощь и сопровождение детей в сложных условиях.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B013 — Подготовка учителей без предметной специализации;0,9;Общая педагогическая деятельность связана с обучением и помощью.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B114 — Социальная работа;1;Прямое совпадение: поддержка уязвимых групп населения.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B111 — Сфера обслуживания;0,7;Клиентоориентированность: помощь и работа с людьми — основа сервиса.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B041 — Бизнес и управление;0,6;Менеджмент включает работу с людьми (управление командами).;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B042 — Право;0,6;Юридическая практика часто направлена на защиту и помощь людям.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B031 — Социальные науки;0,7;Изучение и анализ социальных проблем, связанных с людьми.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B032 — Журналистика и информация;0,6;Журналистика освещает социальные проблемы, помогает обществу информированием.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B021 — Искусство;0,3;Помощь людям — косвенно, скорее через культурное влияние.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B022 — Гуманитарные науки;0,4;Изучение общества и культуры, но помощь не является прямой задачей.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B023 — Языки и литература;0,4;Коммуникация есть, но помощь людям — косвенный аспект.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B052 — Окружающая среда;0,3;Косвенно через улучшение условий жизни общества.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B051 — Биологические и смежные науки;0,3;Косвенно через медико-биологические исследования.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B053 — Физические и химические науки;0,2;Помощь людям здесь опосредованная, в основном через научные результаты.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B054 — Математика и статистика;0,2;"Прямая помощь отсутствует; связь только аналитическая.";;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B061 — Информационно-коммуникационные технологии;0,3;Работа с людьми возможна через ИТ-сервисы, но не основная цель.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B062 — Телекоммуникации;0,3;Косвенно через связь и коммуникации.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B063 — Информационная безопасность;0,2;Работа больше с системами, чем с людьми.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B071 — Инженерия и инженерное дело;0,2;Работа в инженерии с людьми минимальна, акцент на технике.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B073 — Архитектура и строительство;0,2;Контакт с людьми есть (заказчики, команды), но не про «помощь».;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B075 — Стандартизация, сертификация и метрология;0,2;Основная работа с системами контроля и качества, не с людьми.;;;;;;
Интересы;Мне интересно работать с людьми и помогать им.;6B113 — Транспортные услуги;0,4;Работа с клиентами и людьми присутствует, но помощь — не ключевой элемент.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B021 — Искусство;1;Прямое совпадение: искусство и творчество — ядро подготовки.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B022 — Гуманитарные науки;0,6;Философия, культурология, история искусства связаны с творчеством.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B023 — Языки и литература;0,6;Литературное творчество и художественные тексты.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B032 — Журналистика и информация;0,8;Креативные индустрии, создание контента и медиа.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B017 — Подготовка учителей по языкам и литературе;0,6;Литературное творчество как часть преподавания.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B016 — Подготовка учителей по гуманитарным предметам;0,5;Гуманитарные предметы включают культурные и творческие аспекты.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B014 — Подготовка учителей с предметной специализацией общего развития;0,4;Начальная школа: развитие творческих навыков у детей.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B013 — Подготовка учителей без предметной специализации;0,4;Работа с младшими детьми включает творческое развитие.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B012 — Педагогика дошкольного воспитания и обучения;0,6;Творческое развитие дошкольников (рисование, музыка).;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B011 — Педагогика и психология;0,5;Психология творчества, развитие креативности у студентов.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B018 — Подготовка специалистов по социальной педагогике;0,4;Использование творчества в социальной адаптации.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B041 — Бизнес и управление;0,4;Креативность востребована в маркетинге и предпринимательстве.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B031 — Социальные науки;0,3;Культура и искусство — предмет социального анализа.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B042 — Право;0,1;"Прямая связь отсутствует; максимум авторское право.";;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B052 — Окружающая среда;0,2;Возможна креативность в экодизайне и просвещении.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B051 — Биологические и смежные науки;0,1;Наука — не про творчество в художественном смысле.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B053 — Физические и химические науки;0,1;Креативность нужна для исследований, но не «искусство».;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B054 — Математика и статистика;0,1;Креативность проявляется только в абстрактном мышлении.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B061 — Информационно-коммуникационные технологии;0,5;Дизайн интерфейсов и IT-продуктов требует креативности.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B062 — Телекоммуникации;0,2;Слабая связь, креативность в решении инженерных задач.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B063 — Информационная безопасность;0,2;Креативность скорее в нестандартных решениях, но искусство не связано.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B071 — Инженерия и инженерное дело;0,4;Промышленный и продуктовый дизайн.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B073 — Архитектура и строительство;0,7;Архитектура напрямую связана с креативностью и художественным проектированием.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B075 — Стандартизация, сертификация и метрология;0,1;Креативность вторична, главное — нормы и точность.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B111 — Сфера обслуживания;0,4;Креативность востребована в туризме, гостиничном бизнесе, ивентах.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B113 — Транспортные услуги;0,2;Минимальная связь, только в части сервисных решений.;;;;;;
Интересы;Меня вдохновляет творчество и искусство.;6B114 — Социальная работа;0,4;Творческие методы используются для реабилитации и помощи.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B061 — Информационно-коммуникационные технологии;1;Прямое совпадение: программирование, базы данных, разработка ПО.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B063 — Информационная безопасность;0,9;Кибербезопасность требует глубоких ИТ-навыков и программирования.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B062 — Телекоммуникации;0,8;Сетевые технологии, конфигурация и администрирование систем.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B054 — Математика и статистика;0,7;Анализ данных и алгоритмы тесно связаны с программированием.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B053 — Физические и химические науки;0,5;Использование вычислительных методов и программ для моделирования.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B071 — Инженерия и инженерное дело;0,5;CAD/CAE, инженерное моделирование — применяются ИТ.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B073 — Архитектура и строительство;0,4;Использование BIM, AutoCAD и других цифровых инструментов.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B075 — Стандартизация, сертификация и метрология;0,5;Программное обеспечение приборов, системы качества.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B041 — Бизнес и управление;0,6;Data-driven менеджмент, финтех, бизнес-аналитика.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B031 — Социальные науки;0,5;Статистический анализ и работа с базами данных.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B032 — Журналистика и информация;0,4;Data journalism и мультимедийные технологии.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B042 — Право;0,2;IT-law, электронные базы, но программирование не ключевое.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B052 — Окружающая среда;0,3;Экологический мониторинг с использованием ИТ и баз данных.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B051 — Биологические и смежные науки;0,4;Биоинформатика и анализ данных.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B011 — Педагогика и психология;0,3;Использование цифровых образовательных технологий.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B012 — Педагогика дошкольного воспитания и обучения;0,2;Цифровые инструменты присутствуют, но программирование не ядро.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B013 — Подготовка учителей без предметной специализации;0,2;Цифровые технологии вторичны.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B014 — Подготовка учителей с предметной специализацией общего развития;0,3;Программирование может встречаться на уроках информатики.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B015 — Подготовка учителей по естественнонаучным предметам;0,4;Использование симуляций и вычислительных пакетов.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B016 — Подготовка учителей по гуманитарным предметам;0,2;Программирование не является ядром дисциплины.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B017 — Подготовка учителей по языкам и литературе;0,2;Использование образовательных платформ, но не программирование.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B018 — Подготовка специалистов по социальной педагогике;0,2;Работа с людьми, ИТ играет вспомогательную роль.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B022 — Гуманитарные науки;0,2;Косвенно, через цифровые гуманитарные исследования (digital humanities).;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B023 — Языки и литература;0,2;Цифровые корпуса текстов, но программирование минимально.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B021 — Искусство;0,3;Цифровое искусство, графика, мультимедиа используют программные продукты.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B111 — Сфера обслуживания;0,2;Цифровые сервисы, но программирование не ключевое.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B113 — Транспортные услуги;0,3;Логистические системы и базы данных.;;;;;;
Интересы;Мне интересно программирование, работа с компьютерами и данными.;6B114 — Социальная работа;0,2;IT-инструменты вспомогательные, программирование не требуется.;;;;;;
Интересы;Я хотел(а) бы заниматься решением социальных проблем и развитием общества.;6B031 — Социальные науки;1;Прямое совпадение: анализ общества, политика, социальные изменения.;;;;;;
Интересы;Я хотел(а) бы заниматься решением социальных проблем и развитием общества.;6B114 — Социальная работа;0,9;Поддержка уязвимых групп, помощь обществу на практике.;;;;;;
