№ анкеты;Академическая степень;Факультет;Кафедра;Специальность/Группа образовательных программ;Курс обучения;Язык обучения;Язык заполнения анкеты;"Насколько Вы удовлетворены выбором Вашей образовательной программы?
";"Если бы у Вас была возможность выбрать снова, Вы бы выбрали ту же образовательную программу?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.1 Личный интерес к предметной области (что Вам было интересно изучать) ?


";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.2. Ваши знания по школьным предметам (например: математика, физика, биология, история и т.д.)?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.3.Ваши личные навыки и способности (логика, коммуникация, творчество, практические умения и др.) ?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.4. Совпадение программы с Вашими личными ценностями (например: помогать людям, заниматься инновациями, реализовывать творчество) ?
";"Повлияло ли на ваш выбор наличие гранта/поступление по гранту?
";"Ваш курс обучения:
";"Пол:
"
1;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;4;Русский язык;Русский язык;Полностью удовлетворён;Да;Маловажно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
2;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;4;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
3;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Женский
4;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Средне важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
5;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
6;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Совсем не удовлетворён;Да;Не важно;Не важно;Маловажно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
7;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Ни да, ни нет;Да;Важно;Не важно;Средне важно;Маловажно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
8;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Совсем не удовлетворён;Да;Очень важно;Очень важно;Очень важно;Не важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
9;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Совсем не удовлетворён;Да;Не важно;Не важно;Не важно;Не важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
10;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Совсем не удовлетворён;Да;Важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Женский
11;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
12;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Русский язык;Русский язык;Совсем не удовлетворён;Да;Важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Мужской
13;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Средне важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
14;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
15;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Важно;Важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
16;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Ни да, ни нет;Нет;Не важно;Маловажно;Средне важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
17;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Важно;Важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
18;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
19;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
20;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Ни да, ни нет;Да;Важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
21;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
22;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Полностью удовлетворён;Нет;Не важно;Маловажно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
23;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Важно;Нет, грант не имел значения;3 курс;Мужской
24;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Средне важно;Средне важно;Важно;Нет, грант не имел значения;3 курс;Мужской
25;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Совсем не удовлетворён;Нет;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
26;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
27;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Маловажно;Не важно;Очень важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
28;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
29;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
30;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
31;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
32;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Не важно;Не важно;Не важно;Не важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
33;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
34;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
35;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Средне важно;Маловажно;Маловажно;Нет, грант не имел значения;3 курс;Мужской
36;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
37;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
38;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
39;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Русский язык;Русский язык;Скорее удовлетворён;Нет;Важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
40;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее не удовлетворён;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
41;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
42;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
